20468,dayton,1987,Ind,0.419,74.5,Anthony Corbitt,31,0,0,0.557,0.557,0,0.684,6.9,2,0.5,0.6,0,15.9,Don Donoher 
20469,george-mason,1987,CAA,0.667,81.1,Anthony Davis,29,0,0,0.482,0.518,0.44,0.795,2,5.9,1.3,0.2,0,13.5,Rick Barnes 
20470,oral-roberts,1987,Ind,0.276,77.6,Anthony Davis,28,22,22.3,0.469,0.469,0,0.45,4.5,0.1,0.4,0.4,1.1,6.3,Ken Trickey 
20471,rutgers,1987,A-10,0.241,67.1,Anthony Duckett,27,19,26.4,0.559,0.559,0,0.648,6.7,0.5,0.6,0.7,1.2,10.3,Craig Littlepage 
20472,georgia-southern,1987,A-Sun,0.774,63.9,Anthony Forrest,31,0,0,0.514,0.573,0.379,0.742,5.2,4.9,1.7,0.2,0,9.5,Frank Kerns 
20473,eastern-washington,1987,Big Sky,0.222,64.7,Anthony Glanton,22,0,10.9,0.4,0.4,0,0.472,2.2,0.3,0.4,0.2,1.2,1.9,Bob Hofman 
20474,colorado-state,1987,WAC,0.629,62.9,Anthony Goodrum,13,0,0,0.222,0.286,0,0.75,0.3,0.1,0.1,0,0,1,Tiny Grant 
20475,oral-roberts,1987,Ind,0.276,77.6,Anthony Houston,21,2,6.5,0.341,0.366,0,0.526,1.9,0.2,0.1,0.4,0.4,1.9,Ken Trickey 
20476,washington,1987,Pac-10,0.345,70.1,Anthony Jenkins,29,0,0,0.367,0.406,0.2,0.757,1.4,0.9,0.3,0.3,0,3.1,Andy Russo 
20477,louisiana-monroe,1987,Southland,0.7,75.1,Anthony Jones,30,3,14.5,0.494,0.58,0.344,0.75,2,0.9,0.9,0.5,1,7.7,Mike Vining 
20478,saint-louis,1987,MW Coll,0.5,67.8,Anthony Jones,23,0,4.5,0.35,0.389,0,0.647,0.3,0.2,0.1,0.1,0.4,1.1,Rich Grawer 
20479,brown,1987,Ivy,0.231,77.5,Anthony Katsaros,26,0,0,0.617,0.617,0,0.474,7.6,1.4,0.8,1.3,0,13.3,Mike Cingiser 
20480,washington-state,1987,Pac-10,0.448,60.7,Anthony Kidd,29,0,0,0.375,0.383,0.25,0.731,1.7,2.2,0.5,0,0,2.3,Kelvin Sampson 
20481,hofstra,1987,ECC,0.222,66.2,Anthony Knight,6,0,0,0.389,0.389,0,0.5,2.2,0,0.2,0,0,2.5,Dick Berg 
20482,bradley,1987,MVC,0.839,92.5,Anthony Manuel,31,31,37.5,0.421,0.43,0.412,0.795,3.5,12,1.9,0.1,4.5,12.1,Stan Albeck 
20483,tennessee-state,1987,OVC,0.393,75.9,Anthony Mason,28,0,38,0.454,0.448,0.494,0.773,10.4,3,2,0.7,3.8,28,Larry Reid 
20484,cincinnati,1987,Metro,0.393,81,Anthony May,16,0,0,0.286,0.286,0,0.5,0.6,0.1,0.1,0.1,0,0.6,Tony Yates 
20485,weber-state,1987,Big Sky,0.3,70.5,Anthony McGowan,18,0,6.7,0.4,0.357,1,0.5,1.1,0.1,0.1,0.1,0.4,0.9,Larry Farmer 
