team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
creighton,1991,MVC,0.321,64.5,"Andre Tucker",26,6,13.4,0.478,0.5,0,0.766,2.7,0.6,0.6,0.3,0.9,3.9,"Rich Johnson "
idaho,1991,"Big Sky",0.563,73.1,"Andre Whitney",30,21,26.6,0.448,0.473,0.385,0.707,2.6,3,1.2,0.1,3,8.4,"Larry Eustachy "
robert-morris,1991,NEC,0.613,74.3,"Andre Williams",28,0,0,0.275,0.286,0.2,0.571,1.9,1,0.5,0,0,1.4,"Jarrett Durham "
florida,1991,SEC,0.576,68.5,"Andrew DeClercq",33,0,25,0.506,0.506,0,0.655,6.2,0.8,0.6,1.4,2,8.8,"Lon Kruger "
arkansas-state,1991,"Sun Belt",0.607,66.4,"Andrew Evans",10,0,5.2,0.364,0.364,0,0.667,0.4,0.2,0.2,0.1,1.2,1,"Nelson Catalina "
george-mason,1991,CAA,0.25,68.7,"Andrew Fingall",24,6,10.6,0.45,0.45,0,0.625,2.1,0.3,0.3,0.2,1,2.5,"Ernie Nestor "
san-jose-state,1991,"Big West",0.077,63.4,"Andrew Gardiner",22,3,11.8,0.403,0.403,0,0.625,2.5,0.5,0.3,0.1,1,3,"Stan Morrison "
dayton,1991,"MW Coll",0.5,71.7,"Andrew Gaydosh",15,0,0,0.481,0.421,0.625,0.692,1.8,0.2,0.1,0.1,0,2.7,"Jim OBrien "
north-carolina-wilmington,1991,CAA,0.464,74.3,"Andrew Harding",6,0,5,0.25,0.25,0,0.75,0.5,0,0,0,0.3,0.8,"Kevin Eastman "
centenary-la,1991,A-Sun,0.357,84.7,"Andrew Knight",21,0,0,0.484,0.5,0,0.615,1.3,0.1,0,0.2,0,1.8,"Tommy Vardeman "
florida-am,1991,MEAC,0.533,76.6,"Andrew Lovett",6,0,4.3,0.286,0.4,0,0.75,0.5,0.3,0,0,0.7,1.2,"Willie Booker "
towson,1991,ECC,0.567,83.4,"Andrew Mason",24,0,0,0.622,0.683,0,0.792,1.4,0.1,0.3,0,0,3.1,"Terry Truax "
delaware-state,1991,MEAC,0.429,76.8,"Andrew Miles",28,14,30.5,0.35,0.385,0.257,0.653,3.2,3.5,2.5,0.2,4.9,10.3,"Jeff Jones "
lehigh,1991,Patriot,0.483,82.2,"Andrew Moran",13,0,1.4,0.2,0.2,0,0.25,0.3,0,0.1,0,0.2,0.2,"Dave Duke "
pennsylvania,1991,Ivy,0.615,73,"Andy Baratta",1,0,5,0,0,0,0,0,0,0,0,0,0,"Fran Dunphy "
evansville,1991,"MW Coll",0.8,78.5,"Andy Elkins",30,0,0,0.465,0.494,0.313,0.685,3.6,1.1,0.4,0.4,0,4.5,"Jim Crews "
siena,1991,MAAC,0.655,73.5,"Andy Grazulis",29,7,23.8,0.602,0.602,0,0.758,4.8,0.7,0.7,0.1,0,6.3,"Mike Deane "
wright-state,1991,Mid-Cont,0.536,78.6,"Andy Holderman",28,2,12.9,0.425,0.625,0.38,0.913,0.7,1.6,0.5,0,0.8,4.4,"Ralph Underhill "
yale,1991,Ivy,0.654,65.2,"Andy Karazim",11,0,3.1,0,0,0,0.5,0.6,0,0.1,0,0.4,0.1,"Dick Kuchen "
santa-clara,1991,WCC,0.483,67.8,"Andy Karich",27,0,0,0.288,0.262,0.323,0.647,1.7,1.2,0.4,0.1,0,2.7,"Carroll Williams "
wisconsin,1991,"Big Ten",0.419,71.8,"Andy Kilbride",15,0,6.4,0.261,0.143,0.313,0.824,0.3,0.3,0.1,0,0.9,2.1,"Steve Yoder "
marist,1991,NEC,0.333,73.1,"Andy Lake",29,0,0,0.46,0.48,0.44,0.786,2.6,1.6,1.1,0,0,15.8,"Dave Magarity "
monmouth,1991,NEC,0.69,64.5,"Andy Partee",16,0,0,0.387,0.45,0.273,0.792,2.1,3.9,1.7,0,0,5.8,"Wayne Szoke "
michigan-state,1991,"Big Ten",0.733,74,"Andy Penick",2,0,5.5,0,0,0,1,0,1.5,0,0,1,1,"Jud Heathcote "
stanford,1991,Pac-10,0.621,75.7,"Andy Poppink",28,0,8,0.333,0.4,0.2,0.56,1.1,0.5,0.2,0.1,0.6,1.7,"Mike Montgomery "
virginia-tech,1991,Metro,0.357,65.1,"Andy Reed",4,0,1,0.5,0.333,1,1,0.3,0,0,0,0.5,1.8,"Bill C. Foster "
toledo,1991,MAC,0.259,58.4,"Andy Schafer",10,0,3.7,0.533,0.533,0,0.8,1.1,0,0,0.2,0,2.4,"Larry Gipson "
marist,1991,NEC,0.333,73.1,"Andy Seigle",24,0,0,0.447,0.447,0,0.769,1.1,0.2,0.3,0.7,0,2.3,"Dave Magarity "
siena,1991,MAAC,0.655,73.5,"Andy Shorkey",24,0,0.8,0.455,0.5,0.25,0.571,0.9,0.1,0.1,0.2,0,1,"Mike Deane "
pennsylvania,1991,Ivy,0.615,73,"Andy Wise",1,0,5,0,0,0,0,0,0,0,0,0,0,"Fran Dunphy "
washington,1991,Pac-10,0.414,65.9,"Andy Woods",24,10,18.5,0.424,0.478,0.313,0.486,2.4,1.9,0.8,0.2,2.1,4.7,"Lynn Nance "
memphis,1991,GMWC,0.676,74.3,"Anfernee Hardaway",34,0,36,0.433,0.478,0.363,0.652,7,5.5,2.5,1.3,3.7,17.4,"Larry Finch "
oklahoma,1991,"Big 8",0.7,94.6,"Angelo Hamilton",22,0,21.9,0.458,0.519,0.355,0.525,3.4,2.3,1.4,0.3,1.5,9.4,"Billy Tubbs "
harvard,1991,Ivy,0.231,65.5,"Anikar Chhabra",20,0,4.5,0.25,0.25,0,0.5,0.8,0.2,0.1,0.1,0.4,0.4,"Frank Sullivan "
arkansas-state,1991,"Sun Belt",0.607,66.4,"Anthony Allen",27,0,11.1,0.59,0.605,0,0.333,1.9,0.2,0.3,0,0.7,2.2,"Nelson Catalina "
northeastern,1991,NAC,0.321,66.3,"Anthony Brown",28,24,27.5,0.44,0.444,0.286,0.64,2.9,1.7,1.7,0.5,2.4,12.3,"Karl Fogel "
cincinnati,1991,GMWC,0.853,79,"Anthony Buford",34,0,0,0.424,0.451,0.386,0.774,2.8,1.9,1.5,0.1,0,15.3,"Bob Huggins "
tennessee-state,1991,OVC,0.143,68.1,"Anthony Burwell",28,13,17.1,0.583,0.583,0,0.333,4,0.5,0.3,0.6,1.1,5.5,"Frankie Allen "
mount-st-marys,1991,NEC,0.214,77.4,"Anthony Carr",24,9,10.6,0.574,0.582,0,0.5,3.1,0.3,0.4,0.5,0.8,3.8,"Jim Phelan "
louisiana-tech,1991,"Sun Belt",0.71,80.4,"Anthony Dade",31,0,0,0.511,0.511,0,0.548,7.5,2,0.8,0.4,0,15.6,"Jerry Loyd "
