team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
rider,2017,MAAC,0.688,81.9,"Joe Ajike",7,0,1.6,0.222,0.25,0.2,0.5,0.6,0,0,0,0.4,0.9,"Kevin Baggett "
valparaiso,2017,MVC,0.469,70.4,"Joe Burton",10,10,25.1,0.481,0.611,0.378,0.769,3.4,0.8,0.1,0.6,1.6,11.5,"Matt Lottich "
college-of-charleston,2017,CAA,0.765,74.6,"Joe Chealey",34,34,35.4,0.393,0.425,0.348,0.858,4.6,3.6,0.9,0.1,1.7,18,"Earl Grant "
albany-ny,2017,AEC,0.688,74.2,"Joe Cremo",32,32,35.3,0.458,0.459,0.458,0.819,4.1,3.8,0.8,0.3,2.1,17.8,"Will Brown "
new-mexico,2017,MWC,0.559,82.2,"Joe Furstinger",33,25,27.1,0.555,0.604,0.167,0.802,6.8,2.1,0.7,1.6,1.5,10.4,"Paul Weir "
new-mexico-state,2017,WAC,0.824,75.6,"Joe Garza",19,0,8.1,0.267,0,0.286,0.857,0.4,0.2,0.1,0,0.4,1.6,"Chris Jans "
depaul,2017,"Big East",0.355,71.9,"Joe Hanel",14,0,5.2,0.4,0.4,0,0.4,0.9,0.2,0.1,0,0.1,0.7,"Dave Leitao "
central-connecticut-state,2017,NEC,0.438,67.8,"Joe Hugley",30,6,18.9,0.451,0.522,0.393,0.767,3.9,0.4,0.3,0.5,1.6,9.5,"Donyell Marshall "
texas-am-corpus-christi,2017,Southland,0.379,67.7,"Joe Kilgore",29,29,35.1,0.406,0.426,0.343,0.792,5.6,3.3,1.8,0.6,3,18.6,"Willis Wilson "
richmond,2017,A-10,0.375,71.8,"Joe Kirby",27,0,6.2,0.324,0.5,0.227,0,0.6,0.3,0.3,0,0.1,1,"Chris Mooney "
