id,team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
2760,pepperdine,1981,WCAC,0.759,80.9,Scott McCollum,27,23,26.7,0.477,0,0,0.744,5.6,1.9,0.6,0.2,1.6,5.7,Jim Harrick 
2761,texas-san-antonio,1981,Ind,0.296,63.4,Scott McKoin,12,3,7,0.3,0,0,0.8,1.2,0.3,0.2,0,0.5,1.7,Don Eddy 
2762,army,1981,MAAC,0.185,53.5,Scott Milliren,26,8,17.4,0.425,0,0,0.606,1.7,1.7,0.2,0,0,3.6,Pete Gaudet 
2763,indiana-state,1981,MVC,0.333,67.6,Scott Mugg,22,0,0,0.36,0,0,0.6,0.8,0.5,0,0,0,1.9,Bill Hodges 
2764,illinois,1981,Big Ten,0.621,66,Scott Palmer,5,0,1.2,0,0,0,0,0,0,0,0,0.2,0,Lou Henson 
2765,north-carolina-state,1981,ACC,0.688,57.5,Scott Parzych,32,0,0,0.506,0,0,0.651,3.8,2.2,0.8,0.6,0,8.8,Jim Valvano 
2766,north-carolina-wilmington,1981,Ind,0.481,61.9,Scott Pearce,7,0,0,0,0,0,1,0.1,0,0,0,0.1,0.3,Mel Gibson 
2767,oregon,1981,Pac-10,0.333,74.4,Scott Perry,19,0,4.8,0.25,0,0,0.8,0.3,0.3,0,0,0.8,0.9,Jim Haney 
2768,north-carolina-wilmington,1981,Ind,0.481,61.9,Scott Prudhoe,27,0,0,0.495,0,0,0.667,2.3,0.5,0.4,0,1.3,4.7,Mel Gibson 
2769,wisconsin,1981,Big Ten,0.222,64.3,Scott Roth,25,2,13.2,0.461,0,0,0.556,1.9,1.1,0.4,0,0.8,4.2,Bill Cofield 
2770,southern-illinois,1981,MVC,0.407,66,Scott Russ,26,4,15.3,0.392,0,0,0.667,2.4,0.9,0.6,0,1,5.3,Allen Van Winkle 
2771,south-carolina,1981,Ind,0.483,73.3,Scott Sanderson,29,5,10,0.483,0,0,0.737,1.2,1.4,0.5,0,0.6,2.5,Bill E. Foster 
2772,brigham-young,1981,WAC,0.567,62.8,Scott Sinek,30,0,26.6,0.414,0,0,0.826,1.7,3.3,0.9,0.1,2.4,7.5,Frank Arnold 
2773,florida-state,1981,Metro,0.393,73.9,Scott Wilkes,12,0,3.8,0.357,0,0,0.571,0.3,0.3,0.5,0,0,1.2,Joe Williams 
2774,marquette,1981,Ind,0.719,69.9,Sean Brannon,3,0,1.7,0,0,0,0,0,0,0,0,0,0,Hank Raymonds 
2775,ohio,1981,MAC,0.481,64.1,Sean Carlson,26,0,9.2,0.4,0,0,0.375,2,0.3,0,0.2,0.9,1.8,Danny Nee 
2776,syracuse,1981,Big East,0.552,79.2,Sean Kerins,29,0,0,0.522,0,0,0.732,4.1,0.4,0,0,0,8.9,Jim Boeheim 
2777,dayton,1981,Ind,0.7,73.5,Sean McNally,25,0,16.1,0.559,0,0,0.658,2.2,1.2,0.4,0,1,5.2,Don Donoher 
2778,mississippi,1981,SEC,0.6,59.5,Sean Tuohy,30,0,37.7,0.434,0,0,0.835,1.5,7.2,0.8,0.1,0,5.6,Bob Weltlich 
